"Id,R,Nome,Squadra,QuotaIniziale"
"791,D,Sabelli,Genoa,4"
"2525,D,Darmian,Inter,4"
"6039,D,Cabal,Juventus,4"
"5899,D,Gigot,Lazio,4"
"7012,D,Provstgaard,Lazio,4"
"327,D,Patric,Lazio,4"
"2263,D,Lazzari,Lazio,4"
"2728,D,Pellegrini Lu.,Lazio,4"
"7136,D,Kouassi,Lecce,4"
"256,D,Juan Jesus,Napoli,4"
"5307,D,Valenti,Parma,4"
"7139,D,Canestrelli,Pisa,4"
"6411,D,Mateus Lusuardi,Pisa,4"
"2745,D,Calabresi,Pisa,4"
"4807,D,Hermoso,Roma,4"
"6986,D,Rensch,Roma,4"
"2279,D,Romagna,Sassuolo,4"
"6426,D,Pedersen,Torino,4"
"6211,D,Zemura,Udinese,4"
"6631,D,Ghilardi,Roma,4"
"6957,D,Valentini N.,Verona,4"
"5994,D,Ebosse,Verona,4"
"5532,D,Bradaric,Verona,4"
"7202,D,Ndiaye,Parma,4"
"6537,D,Goglichidze,Udinese,4"
"7220,D,Belghali,Verona,4"
"7018,D,Nelsson,Verona,4"
"7240,D,Siebert,Lecce,4"
"5168,D,Tsimikas,Roma,4"
"6351,D,Lamptey,Fiorentina,4"
"6870,D,Faye,Cremonese,4"
"7274,D,Zè Pedro,Cagliari,4"
"7125,D,Idrissi R.,Cagliari,3"
"5435,D,Moreno Alb.,Como,3"
"6013,D,Barbieri,Cremonese,3"
"7069,D,Fortini,Fiorentina,3"
"294,D,Rugani,Juventus,3"
"140,D,Hysaj,Lazio,3"
"6883,D,Jean,Lecce,3"
"6496,D,Bartesaghi,Milan,3"
"6809,D,Marianucci,Napoli,3"
"5527,D,Zanoli,Udinese,3"
"5481,D,Mazzocchi,Napoli,3"
"5353,D,Balogh,Parma,3"
"6965,D,Lovik,Parma,2"
"7154,D,Odenthal,Sassuolo,3"
"6041,D,Schuurs,Torino,3"
"4263,D,Kabasele,Udinese,3"
"6900,D,Rui Modesto,Udinese,3"
"6639,D,Frese,Verona,3"
"7260,D,Ziolkowski,Roma,3"
"5156,D,Nkounkou,Torino,3"
"6665,D,Coulibaly W.,Sassuolo,3"
"6444,D,Bonfanti,Pisa,2"
"5406,D,Di Pardo,Cagliari,2"
"7014,D,Smolcic I.,Como,2"
"6977,D,Otoa,Genoa,2"
"6989,D,Tiago Gabriel,Lecce,1"
"6990,D,Veiga D.,Lecce,1"
"7156,D,Pieragnolo,Sassuolo,2"
"49,D,Masina,Torino,3"
"7011,D,Slotsager,Verona,2"
"6992,D,Oyegoke,Verona,2"
"7196,D,Denoon,Pisa,2"
"7222,D,Cham,Verona,1"
"7271,D,Odogu,Milan,2"
"6551,D,Ilic M.,Bologna,1"
"2847,D,Sernicola,Cremonese,1"
"6803,D,Rouhi,Juventus,1"
"7164,D,Perez M.,Lecce,1"
"7182,D,Ndaba,Lecce,1"
"7140,D,Coppola F.,Pisa,1"
"7170,D,Mbambi,Pisa,1"
"7142,D,Esteves T.,Pisa,1"
"6431,D,Paz Y.,Sassuolo,1"
"6826,D,Dembelè A.,Torino,1"
"6925,D,Palma,Udinese,1"
"7255,D,Britschgi,Parma,1"
"7268,D,Rodriguez Ju.,Cagliari,1"
"2167,C,Orsolini,Bologna,30"
"2423,C,Pulisic,Milan,28"
"632,C,Zaccagni,Lazio,26"
"4777,C,McTominay,Napoli,26"
"5800,C,Gudmundsson A.,Fiorentina,24"
"2517,C,De Bruyne,Napoli,23"
"2379,C,Rabiot,Milan,23"
"2194,C,Calhanoglu,Inter,23"
"6875,C,Paz N.,Como,20"
"5761,C,Zhegrova,Juventus,19"
"6884,C,Conceicao,Juventus,18"
"5562,C,Thuram K.,Juventus,17"
"4220,C,Zambo Anguissa,Napoli,16"
"536,C,Politano,Napoli,16"
"2765,C,Odgaard,Bologna,16"
"1933,C,Mandragora,Fiorentina,15"
"2670,C,Bailey,Roma,16"
"5792,C,Ederson D.S.,Atalanta,15"
"1870,C,Barella,Inter,14"
"5685,C,Koopmeiners,Juventus,14"
"5589,C,Konè M.,Roma,14"
"5687,C,Vlasic,Torino,15"
"6844,C,Rowe,Bologna,14"
"7133,C,Vandeputte,Cremonese,13"
"2848,C,Frattesi,Inter,14"
"827,C,Locatelli,Juventus,13"
"6398,C,Isaksen,Lazio,14"
"2606,C,Modric,Milan,13"
"6831,C,Neres,Napoli,13"
"22,C,De Roon,Atalanta,12"
"5559,C,Da Cunha,Como,12"
"4186,C,Guendouzi,Lazio,11"
"4892,C,Saelemaekers,Milan,12"
"6984,C,Ondrejka,Parma,13"
"5318,C,Tramoni M.,Pisa,12"
"5888,C,Casadei,Torino,12"
"7203,C,Jashari,Milan,13"
"6218,C,Oristanio,Parma,12"
"2077,C,Pasalic,Atalanta,9"
"5119,C,Samardzic,Atalanta,12"
"788,C,Freuler,Bologna,11"
"5036,C,Caqueret,Como,12"
"449,C,Vazquez,Cremonese,10"
"6010,C,Fazzini,Fiorentina,11"
"6722,C,Gronbaek,Genoa,12"
"6106,C,Carboni V.,Genoa,11"
"6629,C,Dele-Bashiru,Lazio,11"
"4686,C,Fofana Y.,Milan,12"
"6666,C,Bernabè,Parma,11"
"5319,C,Sohm,Fiorentina,12"
"5561,C,Stengs,Pisa,11"
"4479,C,Elmas,Napoli,11"
"2766,C,Zaniolo,Udinese,11"
"6206,C,Fabbian,Bologna,10"
"5858,C,Ferguson,Bologna,11"
"6549,C,Pierotti,Lecce,10"
"5453,C,Ricci S.,Milan,11"
"779,C,Cristante,Roma,9"
"530,C,Pellegrini Lo.,Roma,11"
"6684,C,Ekkelenkamp,Udinese,10"
"2839,C,Sottil,Lecce,11"
"6252,C,Folorunsho,Cagliari,9"
"7132,C,Collocolo,Cremonese,8"
"5791,C,Frendrup,Genoa,9"
"7070,C,Sucic P.,Inter,9"
"2529,C,Mkhitaryan,Inter,9"
"4973,C,McKennie,Juventus,10"
"6634,C,Tete Morente,Lecce,9"
"4199,C,Loftus-Cheek,Milan,8"
"4287,C,Lobotka,Napoli,9"
"6271,C,El Aynaoui,Roma,9"
"6889,C,Anjorin,Torino,10"
"5850,C,Lovric,Udinese,9"
"4349,C,Nicolussi Caviglia,Fiorentina,9"
"4896,C,Maldini,Atalanta,9"
"184,C,Bernardeschi,Bologna,9"
"4364,C,Gaetano,Cagliari,8"
"6151,C,Perrone,Como,9"
"7126,C,Baturina,Como,9"
"4465,C,Fagioli,Fiorentina,8"
"4427,C,Malinovskyi,Genoa,8"
"7135,C,Stanciu,Genoa,8"
"4459,C,Rovella,Lazio,9"
"5504,C,Coulibaly L.,Lecce,7"
"795,C,El Shaarawy,Roma,8"
"6908,C,Atta,Udinese,6"
"6486,C,Suslov,Verona,9"
"4947,C,Brescianini,Atalanta,8"
"5298,C,Pobega,Bologna,8"
"4970,C,Messias,Genoa,8"
"5422,C,Zalewski,Atalanta,6"
"6394,C,Ramadani,Lecce,6"
"5872,C,Helgason,Lecce,8"
"7146,C,Tourè I.,Pisa,6"
"5823,C,Baldanzi,Roma,8"
"5844,C,Thorstvedt,Sassuolo,8"
"5007,C,Ilic,Torino,7"
"6680,C,Karlstrom,Udinese,6"
"5688,C,Harroui,Verona,7"
"7254,C,Lorran,Pisa,7"
"4677,C,Cornet,Genoa,7"
"4870,C,Adopo,Cagliari,6"
"1871,C,Deiola,Cagliari,6"
"6640,C,Felici,Cagliari,6"
"2274,C,Valoti,Cremonese,7"
"6917,C,Masini,Genoa,6"
"6020,C,Ellertsson,Genoa,6"
"5301,C,Luis Henrique,Inter,7"
"181,C,Vecino,Lazio,6"
"5457,C,Maleh,Lecce,6"
"6633,C,Pierret,Lecce,6"
